NAERING,GYLDIG_FOM,GYLDIG_TOM,NAERING_KORT,NAERING_LANG,TYPE,GRLNAERING,KNRNAERING,A64N_NAERING,A64_NAERING,A64NP,PUBAGG,A38NP,A21NP,A64EU_NAERING,A88
83870,2011,9999,Omsorgstjenester,Omsorgstjenester,A,83870,8387,8387,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X87
83882,1970,9999,"Barnehager, SFO","Barnehager og SFO",A,83882,8387,8387,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X88
83889,1970,9999,Vekstbedrifter,Vekstbedrifter,A,83889,8387,8387,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X88
83900,1970,9999,Kunst.Vir&underh,"Kunstnerisk virksomhet og underholdningsvirksomhet",A,83905,8390,8390,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X90
83910,1970,9999,Bibl.mus.a.kultu,"Drift av biblioteker, arkiver, museer og annen kulturvirksomhet",A,83905,8390,8390,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X91
83920,1970,9999,"Lotteri og spill","Lotteri og totalisatorspill",A,83905,8390,8390,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X92
83930,1970,9999,Sport-fritidsakt,"Sports- og fritidsaktiviteter",A,83930,8390,8393,8393,8X93,8X90_97,8X90_93,2X90_93,R93,2X93
83940,1970,9999,Akt.medl.org,"Aktiviteter i medlemsorganisasjoner + internasjonale organisasjoner",A,83940,8394,8394,8394,8X94,8X90_97,8X94_96,2X94_96,S94,2X94
83950,1970,9999,"Rep.vare pers.br","Reparasjon av datamaskiner, husholdningsvarer og varer til personlig bruk",A,83950,8394,8395,8395,8X95,8X90_97,8X94_96,2X94_96,S95,2X95
83960,1970,9999,A.pers.tj.yt,"Annen personlig tjenesteyting",A,83960,8394,8396,8396,8X96,8X90_97,8X94_96,2X94_96,S96,2X96
84841,1970,9999,"Offentlig adm.","Offentlig administrasjon og forvaltning, og trygdeordninger underlagt offentlig forvaltning",A,84841,8484,8484,8384,8X84,8X84,8X84,2X84,O84,2X84
84842,1970,9999,Forsvaret,Forsvaret,A,84842,8482,8482,8384,8X84,8X84,8X84,2X84,O84,2X84
84844,1970,9999,A.off.tj.yting,"Annen offentlig tjenesteyting",A,84844,8484,8484,8384,8X84,8X84,8X84,2X84,O84,2X84
84850,1970,9999,Undervisning,Undervisning,A,84850,8485,8485,8385,8X85,8X85,8X85,2X85,P85,2X85
84860,1970,9999,Helsetjenester,Helsetjenester,A,84860,8486,8486,8386,8X86,8X86_88,8X86,2X86_88,Q86,2X86
84870,1970,9999,Omsorgstjenester,Omsorgstjenester,A,84870,8487,8487,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X87
84910,1970,9999,Kultur,"Kulturell tjenesteyting",A,84905,8490,8490,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X91
85360,1970,9999,"Vannforsyning mm","Uttak fra kilde, rensing og distribusjon av vann",A,85360,8538,8538,8336,8X36,8X36_39,8X36_39,2X36_39,E36,2X36
85370,1970,9999,Saml.beha.avløp,"Oppsamling og behandling av avløpsvann",A,85379,8538,8539,8337,8X37_39,8X36_39,8X36_39,2X36_39,E37T39,2X37
85380,1970,9999,Inns.fjern.avfal,"Innsamling, behandling, disponering og fjerning av avfall",A,85379,8538,8539,8337,8X37_39,8X36_39,8X36_39,2X36_39,E37T39,2X38
85841,1970,9999,"Offentlig adm.","Offentlig administrasjon og forvaltning, og trygdeordninger underlagt offentlig forvaltning",A,85841,8584,8584,8384,8X84,8X84,8X84,2X84,O84,2X84
85850,1970,9999,Undervisning,Undervisning,A,85850,8585,8585,8385,8X85,8X85,8X85,2X85,P85,2X85
85860,1970,9999,Helsetjenester,Helsetjenester,A,85860,8586,8586,8386,8X86,8X86_88,8X86,2X86_88,Q86,2X86
85870,1970,9999,Omsorgstjenester,Omsorgstjenester,A,85870,8587,8587,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X87
85882,1970,9999,"Barnehager, SFO","Barnehager og SFO",A,85882,8587,8587,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X88
85910,1970,9999,Bibl.mus.a.kultu,"Drift av biblioteker, arkiver, museer og annen kulturvirksomhet",A,85905,8590,8590,8390,8X90_92,8X90_97,8X90_93,2X90_93,R90T92,2X91
86850,1970,9999,Undervisning,Undervisning,A,86850,8685,8685,8385,8X85,8X85,8X85,2X85,P85,2X85
86860,1970,9999,Helsetjenester,Helsetjenester,A,86860,8686,8686,8386,8X86,8X86_88,8X86,2X86_88,Q86,2X86
86870,1970,9999,Omsorgstjenester,Omsorgstjenester,A,86870,8687,8687,8387,8X87_88,8X86_88,8X87_88,2X86_88,Q87_88,2X87
