PRODUKT,GYLDIG_FOM,GYLDIG_TOM,LAGER_MOTTAK,PRODUKT_KORT,PRODUKT_LANG,GRLPRODUKT,KNRPRODUKT,A64N_PRODUKT,A64_PRODUKT,IKKE_VHM,A38NP,A64NP,PUBAGG,I_U,V_T,A64EU_PRODUKT
192410,1970,9999,87000,"Vaselin, voks","Vaselin, parafinvoks, jordoljevoks, og annen voks",1931,191,191,190,,19,,oljegs,I,V,CPA_C19
192420,1970,9999,87000,Reststof.jo.olje,"Petrolkoks, jordoljebitumen og andre reststoffer fra jordolje",1932,191,191,190,,19,,oljegs,I,V,CPA_C19
201100,1970,9999,87000,Industrigasser,"Industrigasser, hydrogen mv.",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201210,1970,9999,87000,Oksider,"Oksider, peroksider og hydroksider",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201220,1970,9999,87000,Garve/farvestoff,"Garvestoffer og fargestoffer",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201310,1970,9999,87000,"Anriket uran mv.","Anriket uran og plutonium, avsvekket uran og thorium, andre radioaktive grunnstoffer",233,190,200,200,,20,,kjemin,I,V,CPA_C20
201320,1970,9999,87000,"Kjemi.gr.st INAS","Kjemiske grunnstoffer(uorganiske kjemikalier) ellers",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201330,1970,9999,87000,"Sulfider mv.","Sulfider, sulfater, nitrater, fosfater, karbonater",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201350,1970,9999,87000,"Salter a.metall","Salter av andre metaller",201,190,200,200,1,20,,kjemin,I,V,CPA_C20
201360,1970,9999,87000,"Isotoper,cyanid","Isotoper, cyanider, silikater",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201370,1970,9999,87000,"Superrent silisi","(Superrent)Silisium, med innhold av minst 99,99 vekt % silisium",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201380,1970,9999,87000,"Rent silisium,","(Rent)Silisium, med innhold under 99,99 vekt% silisium",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201410,1970,9999,87000,Hydrokarboner,"Hydrokarboner o.l. derivater",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201420,1970,9999,87000,"Etylalkohol,","Etylalkohol, (etanol)",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201430,1970,9999,87000,"Fettsyrer mv.","Fettsyrer, karboksylsyrer o.l. derivater",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201440,1970,9999,87000,Nitrogenforbind.,Nitrogenforbindelser,201,190,200,200,,20,,kjemin,I,V,CPA_C20
201450,1970,9999,87000,"Uorg-org.f,ester","Uorganiske-organiske forbindelser, estere",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201460,1970,9999,87000,"Etere, perokside","Etere, peroksidere, oksidere og diverse forbindelser",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201470,1970,9999,87000,"Diverse organisk","Diverse organiske kjemiske råvarer",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201480,1970,9999,87000,"Avlut tremasse","Avlut fra fabrikasjon av tremasse",206,190,200,200,,20,,kjemin,I,V,CPA_C20
201510,1970,9999,87000,"Ammoniakk,saltpe","Ammoniakk, saltpetersyre, salmiakk",201,190,200,200,,20,,kjemin,I,V,CPA_C20
201530,1970,9999,87000,Kunstgjødsel,Kunstgjødsel,201,190,200,200,,20,,kjemin,I,V,CPA_C20
201600,1970,9999,87000,Basisplast,Basisplast,208,200,200,200,,20,,kjemin,I,V,CPA_C20
201700,1970,9999,87000,"Gummi, syntetisk","Gummi, syntetisk",208,200,200,200,,20,,kjemin,I,V,CPA_C20
202000,1970,9999,87000,"Plantevern mv","Plantevern- og skadedyrmidler og andre landbrukskjemiske produkter",207,200,200,200,,20,,kjemin,I,V,CPA_C20
203010,1970,9999,87000,"Maling, lakker","Maling, lakker",207,200,200,200,,20,,kjemin,I,V,CPA_C20
203020,1970,9999,87000,"Sparkel, lakk","Sparkel, kitt lakkmaling mv.",207,200,200,200,,20,,kjemin,I,V,CPA_C20
203030,1970,9999,87000,"Fargestifter o.l","Kunst-, trykkfarger, tusj, blekk o.l.",207,200,200,200,,20,,kjemin,I,V,CPA_C20
204110,1970,9999,87000,"Overfl akt.stoff","Overflateaktive stoffer, organiske samt glyserol",207,200,200,200,,20,,kjemin,I,V,CPA_C20
204130,1970,9999,87000,"Såpe,rengjørmidl","Såpe og rengjøringsmidler",207,200,200,200,,20,,kjemin,I,V,CPA_C20
204200,1970,9999,87000,"Parfyme,kosmetik","Parfyme, kosmetikk- og toalettpreparater",207,200,200,200,,20,,kjemin,I,V,CPA_C20
205100,1970,9999,87000,Eksplosiver,Eksplosiver,207,200,200,200,,20,,kjemin,I,V,CPA_C20
205200,1970,9999,87000,"Lim, gelatin el","Lim, gelatin og klebemidler ellers",207,200,200,200,,20,,kjemin,I,V,CPA_C20
205300,1970,9999,87000,Flykt.vegetabolj,"Flyktige vegetabilske oljer (brukes i næringsmiddel- og drikkevareindustrien)",207,200,200,200,,20,,kjemin,I,V,CPA_C20
205910,1970,9999,87000,"Film til foto","Film til fotografering",207,200,200,200,,20,,kjemin,I,V,CPA_C20
205920,1970,9999,87000,"Frostvæske o.l.","Frostvæske o.l.",207,200,200,200,,20,,kjemin,I,V,CPA_C20
205930,1970,9999,87000,"Div.kjemisk prod","Diverse kjemiske produkter",207,200,200,200,,20,,kjemin,I,V,CPA_C20
205940,1970,9999,87000,Smøremidler,Smøremidler,207,200,200,200,,20,,kjemin,I,V,CPA_C20
206000,1970,9999,87000,"Syntetiske fibre","Syntetiske og kunstige fibre",207,200,200,200,,20,,kjemin,I,V,CPA_C20
